Month,Year,Month_Year,Total_Gaps_Open,Gaps_Closed,Gaps_Opened,Net_Change,Closure_Rate,Compliance_Rate,Target_Rate,Diabetes_Care_Rate,Preventive_Care_Rate,Chronic_Disease_Rate,Medication_Management_Rate
January,2024,2024-01,45,5,8,-3,55.6,72.5,85.0,75.0,68.0,74.0,73.0
February,2024,2024-02,48,7,10,-3,58.3,74.2,85.0,76.5,70.0,75.5,74.0
March,2024,2024-03,51,9,12,-3,60.0,76.1,85.0,78.0,72.5,77.0,75.5
April,2024,2024-04,54,8,11,-3,57.1,77.8,85.0,79.5,74.0,78.5,76.0
May,2024,2024-05,57,10,13,-3,62.5,79.3,85.0,81.0,75.5,79.5,77.5
June,2024,2024-06,60,11,14,-3,64.7,80.8,85.0,82.5,77.0,81.0,79.0
July,2024,2024-07,63,12,15,-3,66.7,82.1,85.0,84.0,78.5,82.0,80.0
August,2024,2024-08,66,13,16,-3,68.4,83.5,85.0,85.0,80.0,83.5,81.5
September,2024,2024-09,69,14,17,-3,70.0,84.7,85.0,86.5,81.5,84.5,82.5
October,2024,2024-10,72,12,15,-3,66.7,85.8,85.0,87.5,82.5,85.5,83.5
November,2024,2024-11,75,10,13,-3,62.5,86.9,85.0,88.5,84.0,86.5,84.5
December,2024,2024-12,72,8,5,3,61.5,88.2,85.0,89.5,85.5,87.5,85.5
January,2025,2025-01,70,5,3,2,62.5,89.3,85.0,90.0,86.5,88.5,86.0
